Site,Month,Day,Hour,Value,Duration
GZ,1,16,3,110,Valid
GZ,1,16,4,84,Valid
GZ,1,16,5,45,Valid
GZ,1,16,6,39,Valid
GZ,1,16,7,39,Valid
GZ,1,16,8,41,Valid
GZ,1,16,9,44,Valid
GZ,1,16,10,44,Valid
GZ,1,16,11,41,Valid
GZ,1,16,12,48,Valid
GZ,1,16,13,50,Valid
GZ,1,16,14,44,Valid
GZ,1,16,15,34,Valid
GZ,1,16,16,34,Valid
GZ,1,16,17,40,Valid
GZ,1,16,18,51,Valid
GZ,1,16,19,59,Valid
GZ,1,16,20,61,Valid
GZ,1,16,21,62,Valid
GZ,1,16,22,55,Valid
GZ,1,16,23,56,Valid
GZ,1,17,0,43,Valid
GZ,1,17,1,41,Valid
GZ,1,17,2,38,Valid
GZ,1,17,3,38,Valid
GZ,1,17,4,40,Valid
GZ,1,17,5,40,Valid
GZ,1,17,6,41,Valid
GZ,1,17,7,38,Valid
GZ,1,17,8,41,Valid
GZ,1,17,9,42,Valid
GZ,1,17,10,41,Valid
GZ,1,17,11,39,Valid
GZ,1,17,12,36,Valid
GZ,1,17,13,37,Valid
GZ,1,17,14,34,Valid
GZ,1,17,15,41,Valid
GZ,1,17,16,46,Valid
GZ,1,17,17,51,Valid
GZ,1,17,18,64,Valid
GZ,1,17,19,78,Valid
GZ,1,17,20,82,Valid
GZ,1,17,21,84,Valid
GZ,1,17,22,80,Valid
GZ,1,17,23,75,Valid
GZ,1,18,0,66,Valid
GZ,1,18,1,67,Valid
GZ,1,18,2,89,Valid
GZ,1,18,3,78,Valid
GZ,1,18,4,81,Valid
GZ,1,18,5,77,Valid
GZ,1,18,6,75,Valid
GZ,1,18,7,75,Valid
GZ,1,18,8,90,Valid
GZ,1,18,9,81,Valid
GZ,1,18,10,76,Valid
GZ,1,18,11,72,Valid
GZ,1,18,12,74,Valid
GZ,1,18,13,74,Valid
GZ,1,18,14,78,Valid
GZ,1,18,15,70,Valid
GZ,1,18,16,72,Valid
GZ,1,18,17,77,Valid
GZ,1,18,18,81,Valid
GZ,1,18,19,90,Valid
GZ,1,18,20,93,Valid
GZ,1,18,21,84,Valid
GZ,1,18,22,71,Valid
GZ,1,18,23,66,Valid
GZ,1,19,0,54,Valid
GZ,1,19,1,58,Valid
GZ,1,19,2,56,Valid
GZ,1,19,3,61,Valid
GZ,1,19,4,63,Valid
GZ,1,19,5,67,Valid
GZ,1,19,6,69,Valid
GZ,1,19,7,67,Valid
GZ,1,19,8,75,Valid
GZ,1,19,9,71,Valid
GZ,1,19,10,69,Valid
GZ,1,19,11,64,Valid
GZ,1,19,12,59,Valid
GZ,1,19,13,56,Valid
GZ,1,19,14,59,Valid
GZ,1,19,15,57,Valid
GZ,1,19,16,60,Valid
GZ,1,19,17,69,Valid
GZ,1,19,18,76,Valid
GZ,1,19,19,83,Valid
GZ,1,19,20,104,Valid
GZ,1,19,21,109,Valid
GZ,1,19,22,111,Valid
GZ,1,19,23,123,Valid
GZ,1,20,0,122,Valid
GZ,1,20,1,117,Valid
GZ,1,20,2,140,Valid
GZ,1,20,3,143,Valid
GZ,1,20,4,146,Valid
GZ,1,20,5,145,Valid
GZ,1,20,6,146,Valid
GZ,1,20,7,142,Valid
GZ,1,20,8,142,Valid
GZ,1,20,9,144,Valid
GZ,1,20,10,132,Valid
GZ,1,20,11,153,Valid
GZ,1,20,12,182,Valid
GZ,1,20,13,180,Valid
GZ,1,20,14,147,Valid
GZ,1,20,15,138,Valid
GZ,1,20,16,143,Valid
GZ,1,20,17,154,Valid
GZ,1,20,18,165,Valid
GZ,1,20,19,163,Valid
GZ,1,20,20,166,Valid
GZ,1,20,21,174,Valid
GZ,1,20,22,196,Valid
GZ,1,20,23,205,Valid
GZ,1,21,0,193,Valid
GZ,1,21,1,176,Valid
GZ,1,21,2,180,Valid
GZ,1,21,3,174,Valid
GZ,1,21,4,172,Valid
GZ,1,21,5,165,Valid
GZ,1,21,6,165,Valid
GZ,1,21,7,168,Valid
GZ,1,21,8,242,Valid
GZ,1,21,9,259,Valid
GZ,1,21,10,217,Valid
GZ,1,21,11,148,Valid
GZ,1,21,12,129,Valid
GZ,1,21,13,103,Valid
GZ,1,21,14,73,Valid
GZ,1,21,15,-999,Missing
GZ,1,21,16,-999,Missing
GZ,1,21,17,-999,Missing
GZ,1,21,18,-999,Missing
GZ,1,21,19,-999,Missing
GZ,1,21,20,-999,Missing
GZ,1,21,21,-999,Missing
GZ,1,21,22,-999,Missing
GZ,1,21,23,-999,Missing
GZ,1,22,0,-999,Missing
GZ,1,22,1,-999,Missing
GZ,1,22,2,-999,Missing
GZ,1,22,3,-999,Missing
GZ,1,22,4,-999,Missing
GZ,1,22,5,-999,Missing
GZ,1,22,6,-999,Missing
GZ,1,22,7,-999,Missing
GZ,1,22,8,-999,Missing
GZ,1,22,9,-999,Missing
GZ,1,22,10,-999,Missing
GZ,1,22,11,50,Valid
GZ,1,22,12,47,Valid
GZ,1,22,13,46,Valid
GZ,1,22,14,42,Valid
GZ,1,22,15,48,Valid
GZ,1,22,16,49,Valid
GZ,1,22,17,53,Valid
GZ,1,22,18,66,Valid
GZ,1,22,19,75,Valid
GZ,1,22,20,89,Valid
GZ,1,22,21,106,Valid
GZ,1,22,22,114,Valid
GZ,1,22,23,117,Valid
GZ,1,23,0,104,Valid
GZ,1,23,1,87,Valid
GZ,1,23,2,77,Valid
GZ,1,23,3,98,Valid
GZ,1,23,4,103,Valid
GZ,1,23,5,99,Valid
GZ,1,23,6,91,Valid
GZ,1,23,7,103,Valid
GZ,1,23,8,96,Valid
GZ,1,23,9,83,Valid
GZ,1,23,10,79,Valid
GZ,1,23,11,83,Valid
GZ,1,23,12,71,Valid
GZ,1,23,13,54,Valid
GZ,1,23,14,38,Valid
GZ,1,23,15,38,Valid
GZ,1,23,16,36,Valid
GZ,1,23,17,44,Valid
GZ,1,23,18,49,Valid
GZ,1,23,19,55,Valid
GZ,1,23,20,58,Valid
GZ,1,23,21,87,Valid
GZ,1,23,22,90,Valid
GZ,1,23,23,90,Valid
GZ,1,24,0,84,Valid
GZ,1,24,1,85,Valid
GZ,1,24,2,81,Valid
GZ,1,24,3,73,Valid
GZ,1,24,4,70,Valid
GZ,1,24,5,62,Valid
GZ,1,24,6,56,Valid
GZ,1,24,7,55,Valid
GZ,1,24,8,59,Valid
GZ,1,24,9,66,Valid
GZ,1,24,10,73,Valid
GZ,1,24,11,65,Valid
GZ,1,24,12,74,Valid
GZ,1,24,13,88,Valid
GZ,1,24,14,98,Valid
GZ,1,24,15,104,Valid
GZ,1,24,16,109,Valid
GZ,1,24,17,119,Valid
GZ,1,24,18,132,Valid
GZ,1,24,19,134,Valid
GZ,1,24,20,163,Valid
GZ,1,24,21,115,Valid
GZ,1,24,22,69,Valid
GZ,1,24,23,76,Valid
GZ,1,25,0,76,Valid
GZ,1,25,1,79,Valid
GZ,1,25,2,75,Valid
GZ,1,25,3,73,Valid
GZ,1,25,4,73,Valid
GZ,1,25,5,68,Valid
GZ,1,25,6,64,Valid
GZ,1,25,7,72,Valid
GZ,1,25,8,76,Valid
GZ,1,25,9,86,Valid
GZ,1,25,10,88,Valid
GZ,1,25,11,93,Valid
GZ,1,25,12,87,Valid
GZ,1,25,13,89,Valid
GZ,1,25,14,101,Valid
GZ,1,25,15,118,Valid
GZ,1,25,16,116,Valid
GZ,1,25,17,123,Valid
GZ,1,25,18,136,Valid
GZ,1,25,19,142,Valid
GZ,1,25,20,141,Valid
GZ,1,25,21,136,Valid
GZ,1,25,22,125,Valid
GZ,1,25,23,111,Valid
GZ,1,26,0,103,Valid
GZ,1,26,1,110,Valid
GZ,1,26,2,105,Valid
GZ,1,26,3,92,Valid
GZ,1,26,4,94,Valid
GZ,1,26,5,89,Valid
GZ,1,26,6,87,Valid
GZ,1,26,7,90,Valid
GZ,1,26,8,87,Valid
GZ,1,26,9,94,Valid
GZ,1,26,10,94,Valid
GZ,1,26,11,80,Valid
GZ,1,26,12,85,Valid
GZ,1,26,13,127,Valid
GZ,1,26,14,122,Valid
GZ,1,26,15,105,Valid
GZ,1,26,16,96,Valid
GZ,1,26,17,101,Valid
GZ,1,26,18,102,Valid
GZ,1,26,19,103,Valid
GZ,1,26,20,105,Valid
GZ,1,26,21,113,Valid
GZ,1,26,22,131,Valid
GZ,1,26,23,104,Valid
GZ,1,27,0,88,Valid
GZ,1,27,1,89,Valid
GZ,1,27,2,84,Valid
GZ,1,27,3,106,Valid
GZ,1,27,4,90,Valid
GZ,1,27,5,84,Valid
GZ,1,27,6,75,Valid
GZ,1,27,7,79,Valid
GZ,1,27,8,87,Valid
GZ,1,27,9,79,Valid
GZ,1,27,10,73,Valid
GZ,1,27,11,61,Valid
GZ,1,27,12,69,Valid
GZ,1,27,13,80,Valid
GZ,1,27,14,83,Valid
GZ,1,27,15,83,Valid
GZ,1,27,16,73,Valid
GZ,1,27,17,73,Valid
GZ,1,27,18,71,Valid
GZ,1,27,19,92,Valid
GZ,1,27,20,127,Valid
GZ,1,27,21,88,Valid
GZ,1,27,22,80,Valid
GZ,1,27,23,80,Valid
GZ,1,28,0,71,Valid
GZ,1,28,1,82,Valid
GZ,1,28,2,89,Valid
GZ,1,28,3,87,Valid
GZ,1,28,4,72,Valid
GZ,1,28,5,68,Valid
GZ,1,28,6,56,Valid
GZ,1,28,7,53,Valid
GZ,1,28,8,49,Valid
GZ,1,28,9,55,Valid
GZ,1,28,10,56,Valid
GZ,1,28,11,62,Valid
GZ,1,28,12,65,Valid
GZ,1,28,13,66,Valid
GZ,1,28,14,69,Valid
GZ,1,28,15,57,Valid
GZ,1,28,16,51,Valid
GZ,1,28,17,52,Valid
GZ,1,28,18,60,Valid
GZ,1,28,19,53,Valid
GZ,1,28,20,45,Valid
GZ,1,28,21,48,Valid
GZ,1,28,22,50,Valid
GZ,1,28,23,59,Valid
GZ,1,29,0,56,Valid
GZ,1,29,1,51,Valid
GZ,1,29,2,48,Valid
GZ,1,29,3,47,Valid
GZ,1,29,4,45,Valid
GZ,1,29,5,41,Valid
GZ,1,29,6,48,Valid
GZ,1,29,7,61,Valid
GZ,1,29,8,66,Valid
GZ,1,29,9,68,Valid
GZ,1,29,10,65,Valid
GZ,1,29,11,69,Valid
GZ,1,29,12,57,Valid
GZ,1,29,13,54,Valid
GZ,1,29,14,67,Valid
GZ,1,29,15,73,Valid
GZ,1,29,16,77,Valid
GZ,1,29,17,90,Valid
GZ,1,29,18,97,Valid
GZ,1,29,19,111,Valid
GZ,1,29,20,97,Valid
GZ,1,29,21,102,Valid
GZ,1,29,22,76,Valid
GZ,1,29,23,78,Valid
GZ,1,30,0,74,Valid
GZ,1,30,1,62,Valid
GZ,1,30,2,51,Valid
GZ,1,30,3,41,Valid
GZ,1,30,4,36,Valid
GZ,1,30,5,36,Valid
GZ,1,30,6,34,Valid
GZ,1,30,7,31,Valid
GZ,1,30,8,34,Valid
GZ,1,30,9,36,Valid
GZ,1,30,10,35,Valid
GZ,1,30,11,38,Valid
GZ,1,30,12,41,Valid
GZ,1,30,13,39,Valid
GZ,1,30,14,40,Valid
GZ,1,30,15,40,Valid
GZ,1,30,16,40,Valid
GZ,1,30,17,37,Valid
GZ,1,30,18,47,Valid
GZ,1,30,19,-999,Missing
GZ,1,30,20,-999,Missing
GZ,1,30,21,-999,Missing
GZ,1,30,22,46,Valid
GZ,1,30,23,44,Valid
GZ,1,31,0,48,Valid
GZ,1,31,1,43,Valid
GZ,1,31,2,42,Valid
GZ,1,31,3,33,Valid
GZ,1,31,4,34,Valid
GZ,1,31,5,37,Valid
GZ,1,31,6,36,Valid
GZ,1,31,7,34,Valid
GZ,1,31,8,33,Valid
GZ,1,31,9,32,Valid
GZ,1,31,10,37,Valid
GZ,1,31,11,38,Valid
GZ,1,31,12,40,Valid
GZ,1,31,13,43,Valid
GZ,1,31,14,47,Valid
GZ,1,31,15,47,Valid
GZ,1,31,16,43,Valid
GZ,1,31,17,47,Valid
GZ,1,31,18,52,Valid
GZ,1,31,19,61,Valid
GZ,1,31,20,55,Valid
GZ,1,31,21,58,Valid
GZ,1,31,22,57,Valid
GZ,1,31,23,57,Valid
GZ,2,1,0,54,Valid
GZ,2,1,1,58,Valid
GZ,2,1,2,55,Valid
GZ,2,1,3,55,Valid
GZ,2,1,4,56,Valid
GZ,2,1,5,52,Valid
GZ,2,1,6,51,Valid
GZ,2,1,7,45,Valid
GZ,2,1,8,44,Valid
GZ,2,1,9,38,Valid
GZ,2,1,10,36,Valid
GZ,2,1,11,36,Valid
GZ,2,1,12,36,Valid
GZ,2,1,13,46,Valid
GZ,2,1,14,48,Valid
GZ,2,1,15,52,Valid
GZ,2,1,16,53,Valid
GZ,2,1,17,49,Valid
GZ,2,1,18,45,Valid
GZ,2,1,19,56,Valid
GZ,2,1,20,65,Valid
GZ,2,1,21,59,Valid
GZ,2,1,22,48,Valid
GZ,2,1,23,49,Valid
GZ,2,2,0,54,Valid
GZ,2,2,1,52,Valid
GZ,2,2,2,57,Valid
GZ,2,2,3,58,Valid
GZ,2,2,4,57,Valid
GZ,2,2,5,54,Valid
GZ,2,2,6,55,Valid
GZ,2,2,7,52,Valid
GZ,2,2,8,48,Valid
GZ,2,2,9,51,Valid
GZ,2,2,10,56,Valid
GZ,2,2,11,56,Valid
GZ,2,2,12,57,Valid
GZ,2,2,13,63,Valid
GZ,2,2,14,66,Valid
GZ,2,2,15,64,Valid
GZ,2,2,16,65,Valid
GZ,2,2,17,83,Valid
GZ,2,2,18,87,Valid
GZ,2,2,19,88,Valid
GZ,2,2,20,110,Valid
GZ,2,2,21,99,Valid
GZ,2,2,22,101,Valid
GZ,2,2,23,130,Valid
GZ,2,3,0,141,Valid
GZ,2,3,1,115,Valid
GZ,2,3,2,107,Valid
GZ,2,3,3,102,Valid
GZ,2,3,4,105,Valid
GZ,2,3,5,131,Valid
GZ,2,3,6,117,Valid
GZ,2,3,7,108,Valid
GZ,2,3,8,95,Valid
GZ,2,3,9,100,Valid
GZ,2,3,10,100,Valid
GZ,2,3,11,77,Valid
GZ,2,3,12,81,Valid
GZ,2,3,13,74,Valid
GZ,2,3,14,95,Valid
GZ,2,3,15,105,Valid
GZ,2,3,16,94,Valid
GZ,2,3,17,92,Valid
GZ,2,3,18,89,Valid
GZ,2,3,19,89,Valid
GZ,2,3,20,108,Valid
GZ,2,3,21,102,Valid
GZ,2,3,22,105,Valid
GZ,2,3,23,118,Valid
GZ,2,4,0,118,Valid
GZ,2,4,1,122,Valid
GZ,2,4,2,128,Valid
GZ,2,4,3,113,Valid
GZ,2,4,4,104,Valid
GZ,2,4,5,97,Valid
GZ,2,4,6,85,Valid
GZ,2,4,7,72,Valid
GZ,2,4,8,63,Valid
GZ,2,4,9,61,Valid
GZ,2,4,10,62,Valid
GZ,2,4,11,53,Valid
GZ,2,4,12,52,Valid
GZ,2,4,13,41,Valid
GZ,2,4,14,30,Valid
GZ,2,4,15,25,Valid
GZ,2,4,16,32,Valid
GZ,2,4,17,27,Valid
GZ,2,4,18,29,Valid
GZ,2,4,19,28,Valid
GZ,2,4,20,32,Valid
GZ,2,4,21,27,Valid
GZ,2,4,22,22,Valid
GZ,2,4,23,28,Valid
GZ,2,5,0,25,Valid
GZ,2,5,1,30,Valid
GZ,2,5,2,27,Valid
GZ,2,5,3,29,Valid
GZ,2,5,4,32,Valid
GZ,2,5,5,31,Valid
GZ,2,5,6,31,Valid
GZ,2,5,7,41,Valid
GZ,2,5,8,42,Valid
GZ,2,5,9,45,Valid
GZ,2,5,10,50,Valid
GZ,2,5,11,-999,Missing
GZ,2,5,12,-999,Missing
GZ,2,5,13,-999,Missing
GZ,2,5,14,49,Valid
GZ,2,5,15,57,Valid
GZ,2,5,16,62,Valid
GZ,2,5,17,64,Valid
GZ,2,5,18,73,Valid
GZ,2,5,19,77,Valid
GZ,2,5,20,84,Valid
GZ,2,5,21,89,Valid
GZ,2,5,22,90,Valid
GZ,2,5,23,95,Valid
GZ,2,6,0,96,Valid
GZ,2,6,1,99,Valid
GZ,2,6,2,99,Valid
GZ,2,6,3,109,Valid
